"vote","stfeco","stfdem","nwspol_log"
1,7,9,4.38202663467388
2,7,4,2.99573227355399
2,9,5,2.99573227355399
1,7,7,3.55534806148941
1,8,5,2.30258509299405
2,6,4,2.70805020110221
1,9,9,4.49980967033027
2,7,3,NA
1,5,7,3.40119738166216
1,6,7,-0.693147180559945
2,4,2,2.70805020110221
2,9,8,-0.693147180559945
2,4,4,2.30258509299405
1,7,5,-0.693147180559945
2,4,4,2.30258509299405
1,4,6,3.68887945411394
2,8,7,-0.693147180559945
1,10,10,4.78749174278205
3,NA,6,-0.693147180559945
2,4,0,-0.693147180559945
2,9,7,1.6094379124341
1,4,5,-0.693147180559945
2,8,5,2.30258509299405
1,9,6,2.70805020110221
2,5,6,NA
1,8,5,2.99573227355399
1,4,6,2.70805020110221
2,7,7,2.30258509299405
1,8,8,2.99573227355399
1,5,5,5.19295685089021
2,6,6,2.94443897916644
1,5,8,-0.693147180559945
2,6,0,-0.693147180559945
1,2,1,4.0943445622221
1,4,5,3.40119738166216
2,7,6,3.40119738166216
3,8,5,NA
3,8,8,2.30258509299405
2,1,4,3.40119738166216
1,6,4,1.6094379124341
1,7,3,-0.693147180559945
2,4,2,3.40119738166216
1,8,7,3.40119738166216
1,2,2,-0.693147180559945
1,2,8,4.0943445622221
2,2,5,-0.693147180559945
1,8,8,2.99573227355399
2,3,4,4.49980967033027
1,8,4,3.40119738166216
1,7,7,2.99573227355399
1,6,6,3.40119738166216
2,NA,0,-0.693147180559945
1,6,8,-0.693147180559945
1,9,4,4.90527477843843
1,2,1,3.40119738166216
1,10,7,4.49980967033027
2,4,5,4.0943445622221
1,NA,7,4.49980967033027
1,0,1,-0.693147180559945
1,7,8,-0.693147180559945
1,5,5,4.49980967033027
2,4,5,3.40119738166216
2,10,5,3.40119738166216
