"vote","polintr","frlgrsp_log","maryr"
"ne",4,10.3089526606443,2018
"ne",4,10.3089526606443,1994
"ano",3,10.3734911817819,1985
"ne",3,10.3089526606443,1984
"ano",2,10.4631033404715,2016
"ano",3,10.5966347330961,2001
"ne",4,10.0858091093301,1983
"ano",3,10.2750511089686,1990
"ano",3,9.88328484521861,1995
"ano",2,9.61580548008435,1969
"ne",4,9.84691720104773,2008
"ano",4,10.2750511089686,1992
"ne",3,10.4631033404715,2013
"ne",4,11.5129254649702,2013
"ano",3,10.8197782844103,2009
"ano",3,10.77895628989,1990
"ano",3,10.2399597891573,2006
"ne",3,10.4042628404486,1990
"ano",2,10.5966347330961,1981
"ne",3,11.0020998412042,1989
"ano",3,10.3089526606443,1994
"ano",2,10.4042628404486,1988
"ano",3,10.77895628989,2014
"ano",3,9.68034400122192,2015
"ano",2,9.99879773234045,1989
"ne",4,10.4631033404715,1980
"ano",3,10.4631033404715,2004
"ne",4,10.5966347330961,1996
"ano",3,10.4631033404715,2006
"ne",4,9.99879773234045,1981
"ne",3,10.3089526606443,2001
"ne",4,9.90348755253613,1979
"ano",3,10.1266311038503,1992
"ano",3,9.90348755253613,2002
"ano",3,10.7144177687525,1984
"ano",3,10.5966347330961,1978
"ano",3,10.77895628989,1980
"ano",3,10.2035921449865,1996
"ne",4,10.3089526606443,2011
"ano",3,10.5966347330961,1985
"ano",3,10.3089526606443,2010
"ano",3,10.3089526606443,1987
"ano",4,11.4075649493124,1991
"ano",4,10.4631033404715,1982
"ano",3,9.90348755253613,1994
"ano",3,10.6454248972655,1995
"ano",2,10.2399597891573,2001
"ano",3,10.4631033404715,1984
"ne",3,10.4631033404715,1995
"ne",4,10.3734911817819,1975
"ano",3,10.3089526606443,1986
"ano",3,10.6454248972655,1996
"ne",4,10.4631033404715,1998
"ano",4,11.5129254649702,1980
"ano",4,9.95227771670556,1981
"ano",3,10.5966347330961,1996
"ne",3,10.0858091093301,2001
"ne",3,10.7144177687525,1988
"ano",2,10.2750511089686,1989
"ano",3,10.3089526606443,2002
"ano",2,9.85219425814858,2013
"ano",3,10.2399597891573,2000
"ano",2,10.8197782844103,1985
"ne",3,10.3089526606443,1991
"ano",3,10.4631033404715,1994
"ne",4,10.4631033404715,1993
"ne",3,10.4631033404715,1990
"ano",3,10.5966347330961,1992
"ano",3,10.5966347330961,1990
"ano",4,10.4912742174382,1997
"ne",2,10.3089526606443,1986
"ano",3,10.5966347330961,2008
"ne",4,10.3089526606443,2006
"ano",3,10.1266311038503,1981
"ano",3,10.4631033404715,2014
"ano",4,10.3089526606443,1998
"ano",4,10.8197782844103,2007
"ano",4,9.99879773234045,1983
"ne",3,10.3089526606443,1993
"ano",3,9.99879773234045,1996
"ne",4,9.99879773234045,1990
"ne",4,10.5453414387085,1988
"ano",4,10.1266311038503,1983
"ne",4,10.8197782844103,1987
"ano",4,10.0432494949113,2004
"ano",4,10.2035921449865,2002
"ne",4,10.1266311038503,1990
"ne",4,10.3089526606443,2003
"ano",2,9.99879773234045,1987
"ne",4,10.4631033404715,1984
"ano",3,10.9150884642146,1996
"ano",2,10.3089526606443,2008
"ano",3,10.2399597891573,2011
"ano",2,10.5966347330961,1991
"ne",2,10.3089526606443,1986
"ne",4,10.5966347330961,1995
"ano",1,10.8197782844103,1972
"ano",3,9.99879773234045,2015
"ne",3,10.3089526606443,1984
"ne",4,10.1658518170036,1999
"ano",4,10.2750511089686,1971
"ano",4,9.85219425814858,1985
"ano",3,10.3089526606443,1994
"ano",3,10.5966347330961,1993
"ne",2,10.5966347330961,2012
"ano",3,10.3089526606443,1990
"ne",4,10.5966347330961,1994
"ne",4,10.3089526606443,2003
"ano",3,9.90348755253613,1978
"ano",3,10.4631033404715,1985
"ano",3,10.3734911817819,1987
"ne",3,9.90348755253613,1994
"ne",3,10.3089526606443,2002
"ano",3,11.1562505210315,2009
"ano",3,10.3734911817819,1980
"ne",4,9.85219425814858,1989
"ano",3,10.3089526606443,1978
"ano",3,10.8197782844103,1991
"ano",2,9.39266192877014,1991
"ano",3,9.99879773234045,2009
"ano",2,10.3089526606443,1998
"ne",4,10.4631033404715,1986
"ano",3,10.2399597891573,1984
"ano",3,10.3089526606443,1993
"ano",3,10.5453414387085,1986
"ano",3,10.3089526606443,1976
"ano",4,9.99879773234045,1999
"ano",4,10.2035921449865,1981
"ano",3,10.8197782844103,1987
"ano",3,10.4631033404715,1990
"ne",3,10.7144177687525,2007
"ano",3,9.90348755253613,1986
"ne",4,10.4631033404715,2000
"ano",2,10.2750511089686,2000
"ano",3,11.0020998412042,2002
"ne",3,10.1266311038503,1982
"ano",3,10.4042628404486,1992
"ano",3,10.4631033404715,1986
"ano",4,10.4631033404715,1988
"ne",3,10.2399597891573,2006
"ano",2,10.3089526606443,1986
"ano",4,9.99879773234045,2001
"ano",3,10.7144177687525,1991
"ano",2,10.4042628404486,2016
"ano",3,11.0020998412042,2005
"ano",3,10.4042628404486,1983
"ano",3,10.3089526606443,1991
"ne",4,10.4341158035983,1988
"ano",2,10.0858091093301,1991
"ne",4,9.90348755253613,1989
"ne",2,10.4631033404715,1977
"ano",4,9.90348755253613,1990
"ano",1,10.4631033404715,1991
"ano",3,9.90348755253613,1992
"ano",2,10.7144177687525,1974
"ne",4,10.8197782844103,1992
"ano",3,10.0432494949113,1978
"ano",3,10.5966347330961,1982
"ano",3,10.8589989975636,1995
"ne",2,10.7144177687525,1997
"ano",3,10.3089526606443,1985
"ano",3,10.2750511089686,1996
